id,prod_name,label
belt1,LEATHER SASH BELT,belt
belt2,LEATHER BELT WITH GEOMETRIC BUCKLE,belt
belt3,LEATHER SASH BELT WITH OVAL BUCKLE,belt
belt4,LEATHER SASH BELT WITH OVAL BUCKLE,belt
belt5,SASH BELT WITH METAL BUCKLE,belt
belt6,MULTI-STUD LEATHER BELT,belt
belt7,CIRCULAR LEATHER BELT,belt
belt8,STUDDED LEATHER SASH BELT,belt
belt9,LEATHER BELT WITH SQUARE BUCKLE,belt
belt10,LEATHER BELT WITH SQUARE BUCKLE,belt
belt11,CIRCULAR LEATHER BELT,belt
belt12,LEATHER SASH BELT,belt
belt13,STUDDED HEART LEATHER BELT,belt
belt14,LEATHER BELT WITH CHAIN AND HEARTS,belt
belt15,ANIMAL PRINT LEATHER BELT,belt
belt16,ANIMAL PRINT LEATHER BELT,belt
belt17,LEATHER HEART BELT,belt
belt18,MULTI-STUD LEATHER BELT,belt
belt19,LEATHER BELT WITH GEOMETRIC BUCKLE,belt
belt20,LEATHER BELT WITH GEOMETRIC BUCKLE,belt
belt21,THIN LEATHER BELT,belt
belt22,METAL BUCKLE LEATHER BELT,belt
belt23,CIRCULAR LEATHER BELT,belt
belt24,METAL BUCKLE LEATHER BELT,belt
scarf1,KNIT SCARF WITH ZIPPERED NECKLINE,scarf
scarf2,POLKA DOT PRINT SCARF,scarf
scarf3,FABRIC FLOWER NECKLACE,scarf
scarf4,FLORAL DOUBLE CHOKER LEATHER NECKLACE,scarf
scarf5,PRINT BANDANA,scarf
scarf6,BASIC SCARF,scarf
scarf7,SOFT SCARF,scarf
scarf8,FINE KNIT SCARF,scarf
scarf9,PRINTED ALPACA BLEND SCARF,scarf
scarf10,BEADED ALPACA WOOL BLEND SCARF,scarf
scarf11,ARGYLE KNIT SCARF,scarf
scarf12,MODAL LACE SCARF,scarf
scarf13,BASIC SCARF,scarf
scarf14,BASIC SCARF,scarf
scarf15,BASIC SCARF,scarf
scarf16,SOFT SCARF,scarf
scarf17,FINE KNIT SCARF,scarf
scarf18,FLORAL PRINT POCKET SQUARE,scarf
scarf19,PLAID SCARF,scarf
scarf20,BANDANA WITH WOOL,scarf
scarf21,EMBROIDERED ANIMAL PRINT BANDANA,scarf
scarf22,PRINTED VISCOSE SCARF,scarf
scarf23,PRINTED VISCOSE SCARF,scarf
scarf24,ANIMAL PRINT MODAL SCARF,scarf
scarf25,FLORAL PRINT SCARF,scarf
scarf26,KNIT SCARF WITH ZIPPERED NECKLINE,scarf
scarf27,FRINGED WIDE SCARF,scarf
scarf28,ANIMAL PRINT MODAL SCARF,scarf
scarf29,FLORAL PRINTED SCARF,scarf
scarf30,ANIMAL PRINT SCARF,scarf
scarf31,PRINTED ALPACA BLEND SCARF,scarf
scarf32,SOFT SCARF,scarf
scarf33,KNIT SCARF,scarf
scarf34,BASIC KNIT SCARF,scarf
scarf35,ANIMAL PRINT HANDKERCHIEF,scarf
scarf36,SOFT SCARF,scarf
scarf37,FABRIC FLOWER NECKLACE,scarf
scarf38,FINE KNIT SCARF,scarf
scarf39,FINE KNIT SCARF,scarf
scarf40,ANIMAL PRINT HANDKERCHIEF,scarf
scarf41,RUSTIC WOOL BLEND SCARF,scarf
scarf42,RUSTIC WOOL BLEND SCARF,scarf
scarf43,FLORAL PRINT SCARF,scarf
hat1,ANIMAL PRINT TWILL CAP,hat
hat2,ANIMAL PRINT TWILL CAP,hat
hat3,ZARA STYLENOTCOM TEXT CAP,hat
hat4,PLAIN TWILL CAP,hat
hat5,TURNED-UP KNIT BEANIE,hat
hat6,DOUBLE-FACED FLEECE LINED HAT,hat
hat7,TURNED-UP KNIT BEANIE,hat
hat8,ALPACA BLEND EAR FLAP BEANIE,hat
hat9,TURNED-UP KNIT BEANIE,hat
hat10,FINE KNIT BEANIE,hat
hat11,WOOL BUCKET HAT,hat
hat12,ARGYLE KNIT BEANIE,hat
hat13,FINE KNIT BEANIE,hat
hat14,WOOL BUCKET HAT,hat
hat15,ALPACA BLEND PRINT BEANIE,hat
hat16,BEADED ALPACA WOOL BLEND BEANIE,hat
hat17,ALPACA BLEND PRINT BEANIE,hat
hat18,WASHED EFFECT TWILL CAP,hat
hat19,TURNED-UP KNIT BEANIE,hat
hat20,FINE KNIT BEANIE,hat
hat21,FAUX FUR KNIT BEANIE,hat
hat22,ALPACA BLEND EAR FLAP BEANIE,hat
hat23,RIBBED KNIT BEANIE,hat
gloves1,FINGERLESS RIBBED KNIT GLOVES,gloves
gloves2,FAUX LEATHER SHORT GLOVES,gloves
gloves3,SHORT GLOVES,gloves
gloves4,SHORT GLOVES,gloves
gloves5,FINGERLESS RIBBED KNIT GLOVES,gloves
gloves6,SHORT GLOVES,gloves
shoe1,POINTED TOE LEATHER SLINGBACK FLATS,shoe
shoe2,SLINGBACK BUCKLE SHOES,shoe
shoe3,SLINGBACK BUCKLE SHOES,shoe
shoe4,METALLIC EFFECT SLING BACK KITTEN HEELS,shoe
shoe5,FLAT LEATHER SANDALS,shoe
shoe6,LEATHER STUDDED CAGE SANDALS,shoe
shoe7,FLAT STUDDED LEATHER CAGE SANDALS,shoe
shoe8,WOVEN CAGE SANDALS,shoe
shoe9,GATHERED SOFT LEATHER LOAFERS,shoe
shoe10,LEATHER WEDGES,shoe
shoe11,CHUNKY LEATHER HIGH HEELED SANDALS,shoe
shoe12,DOUBLE STRAP MESH BALLET FLATS,shoe
shoe13,SLINGBACK MESH SHOE,shoe
shoe14,MESH BALLET FLATS,shoe
shoe15,MESH BALLET FLATS,shoe
shoe16,SUEDE MARY JANE FLATS,shoe
shoe17,LEATHER BALLET FLATS WITH ELASTIC STRAP,shoe
shoe18,ANIMAL PRINT BOW HIGH HEEL MULES,shoe
shoe19,PATENT LEATHER SLINGBACK PUMPS,shoe
shoe20,SLINGBACK BUCKLE SHOES,shoe
shoe21,STRAPPY FISHERMAN SANDALS,shoe
shoe22,FLAT SUEDE STRAP SANDALS,shoe
shoe23,BUCKLED SANDALS,shoe
shoe24,SOFT ATHLETIC SNEAKERS,shoe
shoe25,BUCKLED SUEDE CLOGS,shoe
shoe26,METALLIC BUCKLE CLOGS,shoe
shoe27,METAL STRAP BALLET FLATS,shoe
shoe28,CASUAL STYLE SNEAKERS,shoe
shoe29,COLOR-BLOCK SNEAKERS,shoe
shoe30,SNEAKERS,shoe
shoe31,SNEAKERS IN A COMBINATION OF COLORS,shoe
shoe32,FLATFORM SANDALS,shoe
shoe33,LEATHER HEELED SANDALS,shoe
shoe34,SUEDE HEELED SANDALS,shoe
shoe35,SLINGBACK STUDDED FLATS,shoe
shoe36,LOW HEELED STUDDED SHOES,shoe
shoe37,STUDDED SLINGBACK HEELS,shoe
shoe38,PENNY LOAFERS,shoe
shoe39,VELVET EFFECT PLATFORM SANDAL,shoe
shoe40,FLAT LEATHER SANDALS,shoe
shoe41,DENIM BUCKLE BALLET FLATS,shoe
shoe42,LEATHER BALLET FLATS,shoe
shoe43,ANIMAL PRINT BUCKLE BALLET FLATS,shoe
shoe44,BUCKLE MARY JANES,shoe
shoe45,SATIN EFFECT TOPSTITCHED BALLERINA FLATS,shoe
shoe46,MAXI GLITTER BOW SANDALS,shoe
shoe47,EMBROIDERED MESH SLINGBACK SHOES,shoe
shoe48,SATIN EFFECT FLOWER HEELED SANDALS,shoe
shoe49,PATENT SLINGBACK HIGH HEELS,shoe
shoe50,HIGH-HEELED DENIM SANDALS,shoe
shoe51,LEATHER KITTEN HEELED SANDALS,shoe
shoe52,SATIN EFFECT FLAT SANDALS,shoe
shoe53,FLAT SATIN FINISH SANDALS WITH METALLIC PIECE,shoe
shoe54,FLAT SANDALS WITH LEATHER STRAPS,shoe
shoe55,BRAIDED SLINGBACK HEELS,shoe
shoe56,HIGH HEELED STRAP SANDALS,shoe
shoe57,SPLIT LEATHER KITTEN HEEL KNEE HIGH BOOTS,shoe
shoe58,SPLIT LEATHER KITTEN HEEL KNEE HIGH BOOTS,shoe
shoe59,COCONUT EFFECT WEDGES,shoe
shoe60,STRAPPY KITTEN HEELS,shoe
shoe61,POINTED TOE LEATHER SLINGBACK FLATS,shoe
shoe62,SUEDE COWBOY BOOTS,shoe
shoe63,LEATHER COWBOY BOOTS,shoe
shoe64,KNEE HIGH SPLIT LEATHER COWBOY BOOTS,shoe
shoe65,CONTRASTING COWBOY BOOTS,shoe
shoe66,SUEDE PENNY LOAFERS,shoe
shoe67,METAL STRAP BALLET FLATS,shoe
shoe68,METAL STRAP BALLET FLATS,shoe
shoe69,BRAIDED BALLET FLATS,shoe
shoe70,EMBROIDERED SUEDE LOAFERS,shoe
shoe71,FRINGE SPLIT LEATHER CLOGS,shoe
shoe72,EMBROIDERED SUEDE LOAFERS,shoe
shoe73,FRINGE SPLIT LEATHER CLOGS,shoe
shoe74,BUCKLE SLINGBACK HEELS,shoe
shoe75,FUR TRIMMED LEATHER SLINGBACK KITTEN HEELS,shoe
shoe76,HEELED ANKLE STRAP SANDALS,shoe
shoe77,HEELS WITH ANKLE STRAP,shoe
shoe78,LEOPARD SLING BACK HEELS,shoe
shoe79,SUEDE KITTEN HEEL ANKLE BOOTS,shoe
shoe80,SPLIT LEATHER STUDDED ANKLE BOOTS,shoe
shoe81,SPLIT LEATHER PLATFORM HEELED ANKLE BOOTS,shoe
shoe82,LEATHER MULES,shoe
shoe83,FRINGED LEATHER COWBOY BOOTS,shoe
shoe84,METALLIC KNOT MULE,shoe
shoe85,SUEDE LEATHER BALLET FLATS,shoe
shoe86,SOFT SUEDE LACED LOAFERS,shoe
shoe87,BUCKLED SUEDE MARY JANES,shoe
shoe88,BUCKLED SUEDE MARY JANES,shoe
shoe89,SATIN FINISH HEELS,shoe
shoe90,STUDDED FLAT SLINGBACKS,shoe
shoe91,PATENT FINISH HEELED SANDALS,shoe
shoe92,EMBOSSED BLOCK HEEL SLINGBACKS,shoe
